m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,3.4,2.9,3.5,2.4,2.1,2.3,2.4,2.5,2.3,2
생산량,9,10.5,10.9,11.9,12,12,11.8,12.4,12.8,13.1
수입량,10.8,12.1,10.9,11.5,12,11.6,11.8,11.6,10.3,11.4
곡물총량,23.3,25.5,25.3,25.7,26.1,25.8,26,26.5,25.4,26.5
음식소비,10.1,10.6,10.7,11.1,10.9,10.8,11,10.9,10.5,10.7
사료소비,7.7,9,9.7,10,10.6,10.2,10,10.5,10.1,11
산업소비,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7
기타소비,0.6,0.7,0.8,0.5,0.6,0.5,0.5,0.6,0.7,0.7
총소비량,19.8,21.7,22.6,23.1,23.6,23,23.1,23.7,23,24.1
수출량,0.5,0.3,0.3,0.6,0.3,0.4,0.4,0.4,0.4,0.4
내년이월,2.9,3.5,2.4,2.1,2.3,2.4,2.5,2.3,2,2
