m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,240.9,269.4,321,340.9,337,326.6,324.1,324.9,323.2,318.4
생산량,386.2,406.2,405,401,397.5,403.5,404.3,418.6,424.2,423.3
수입량,27.3,20.6,20.1,21.2,14.4,25.6,62.5,52.9,46.2,51.6
곡물총량,654.4,696.2,746.1,763.1,748.9,755.8,790.9,796.3,793.6,793.2
음식소비,102.8,103.1,103.8,104.2,104.7,105.2,106.4,107.9,109.8,110.8
사료소비,187,173.4,198.4,210.1,200,206.1,241.5,247.3,247.6,254.5
산업소비,74.6,77.6,81.7,88.9,93.3,95,93.6,93.1,91.8,91.6
기타소비,19.1,19.8,19.8,21.1,22.4,23.5,23.1,23.4,24.1,24
총소비량,383.5,373.9,403.7,424.3,420.4,429.8,464.5,471.6,473.3,481
수출량,1.5,1.3,1.5,1.8,1.9,1.8,1.5,1.6,1.9,1.9
내년이월,269.4,321,340.9,337,326.6,324.1,324.9,323.2,318.4,310.4
