m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.9,1.8,1.7,1.3,1,1.1,1,1.1,0.7,1.1
생산량,4.9,4.8,5.3,5.1,5.7,4.5,5.7,5.4,5.3,5.6
수입량,4.2,5.8,4.4,4.2,4.1,5.3,5.2,3.5,4.4,3.7
곡물총량,10,12.3,11.4,10.5,10.8,10.9,11.9,10,10.4,10.3
음식소비,1,1.3,1.4,1.6,1.4,1.4,1.4,1.3,1.4,1.4
사료소비,6.1,7.9,7,6.6,7,7.1,8,7,6.8,6.8
산업소비,0.4,0.6,0.5,0.6,0.7,0.9,0.9,0.5,0.6,0.6
기타소비,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
총소비량,7.7,10,9.1,9.1,9.3,9.6,10.4,8.8,8.9,9
수출량,0.5,0.6,1,0.5,0.4,0.3,0.4,0.4,0.4,0.4
내년이월,1.8,1.7,1.3,1,1.1,1,1.1,0.7,1.1,0.9
