m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,6.1,6.6,7.1,14.6,15.6,10,8.4,12.2,11.4,16.4
생산량,59.1,61,72.5,85.1,71.7,73.6,85.4,75,95.4,84.4
수입량,0.3,0.7,0.4,0.3,0.4,0.3,0.2,0.2,0.1,0.1
곡물총량,65.5,68.3,80,100,87.7,83.9,94,87.4,106.9,101
음식소비,12.9,13,13.1,13.6,13.9,13.6,14,14.1,14.1,14.1
사료소비,14,13,14.1,18.5,18,17.4,19,18.5,19,19.5
산업소비,1.5,1.8,1.9,1.9,1.9,1.7,1.7,1.6,1.7,1.7
파종소비,7,7.7,8.1,7.8,7.7,8,8.1,8,8.2,8
기타소비,1.1,0.2,0.5,1.4,0.7,0.6,0.6,0.6,0.8,0.7
총소비량,36.6,35.7,37.7,43.1,42,41.3,43.4,42.8,43.8,44
수출량,22.4,25.5,27.8,41.3,35.7,34.2,38.4,33.1,46.7,46.6
내년이월,6.6,7.1,14.6,15.6,10,8.4,12.2,11.4,16.4,10.4
