m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,2.6,5.3,1.3,0.6,0.7,1.7,1.9,1.7,1.2,3.3
생산량,13.9,11.3,18.4,18.5,19.5,19.8,17.6,22.1,12.6,17.5
수입량,-,-,-,-,-,-,-,-,-,-
곡물총량,16.5,16.6,19.7,19.1,20.1,21.4,19.6,23.9,13.8,20.8
음식소비,5,4.6,4.5,4.7,4.7,4.8,4.9,4.9,5.1,5.1
사료소비,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3
산업소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
파종소비,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.6
기타소비,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2
총소비량,6.1,5.8,5.3,5.5,5.4,5.7,5.7,5.8,6,6.2
수출량,5.1,9.5,13.8,13,13.1,13.8,12.2,16.8,4.5,12.4
내년이월,5.3,1.3,0.6,0.7,1.7,1.9,1.7,1.2,3.3,2.2
