m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,17.8,18,15.3,9.8,13,17,24.7,27.3,19,13
생산량,95.9,86.5,86,98.5,99.7,103.6,107.9,109.6,107.7,108
수입량,0.3,0.4,6.2,0.9,-,-,-,-,0.3,0.1
곡물총량,113.9,104.9,107.5,109.2,112.7,120.6,132.6,136.9,127,121.1
음식소비,80.5,78.9,84,86.3,86.2,85.2,88.9,95.2,94.6,94.9
사료소비,5,3.4,5,3.6,3.7,4,6.5,7,6.5,6
산업소비,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
파종소비,4.2,4.2,4.2,4.1,4.2,4.2,4.2,4.4,4.2,4.2
기타소비,2.7,2,3.9,1.5,1,2,3.1,3.1,3,3.1
총소비량,92.5,88.7,97.3,95.7,95.3,95.5,102.8,109.9,108.6,108.4
수출량,3.4,0.9,0.4,0.5,0.4,0.5,2.4,8,5.4,1
내년이월,18,15.3,9.8,13,17,24.7,27.3,19,13,11.7
