m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.7,1.8,2.3,0.9,2.3,2.7,5.5,5.2,5.5,8.1
생산량,19,22.6,20.6,21.5,20,19,19.5,17.7,19.8,20.5
수입량,5.9,4.5,4.7,6.2,6.8,12.6,8.6,10.7,12.5,9
곡물총량,26.6,28.9,27.6,28.6,29.1,34.3,33.6,33.6,37.7,37.6
음식소비,15.3,15.2,15.1,15.1,15.3,16.2,16.4,16.7,17.1,17.3
사료소비,2.6,2.3,2.3,1.8,1.8,2.2,2.5,2.4,2.6,3.3
산업소비,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
파종소비,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5
기타소비,0.7,1.4,0.9,0.9,0.9,2,1.1,1,1.1,1.1
총소비량,20.2,20.5,20,19.5,19.7,22.1,21.7,21.7,22.5,23.5
수출량,4.6,6.1,6.7,6.8,6.8,6.7,6.7,6.4,7.2,7.6
내년이월,1.8,2.3,0.9,2.3,2.7,5.5,5.2,5.5,8.1,6.5
