m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.8,1.7,2.3,2.3,1.4,1.3,1.4,1.5,0.7,1.1
생산량,4,4.8,4.4,3.1,3.3,3.8,3.7,2.6,3.8,3.9
수입량,1,1,0.8,0.8,0.7,0.5,0.5,0.5,0.9,0.5
곡물총량,6.8,7.5,7.4,6.2,5.4,5.5,5.6,4.5,5.3,5.4
음식소비,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
사료소비,0.9,1.1,1,1,0.3,0.4,0.6,0.5,0.9,0.6
산업소비,3,3.1,3.3,3,3,3,2.9,2.7,2.7,2.7
기타소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
총소비량,4.2,4.5,4.4,4.1,3.5,3.6,3.7,3.4,3.8,3.5
수출량,0.8,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5
내년이월,1.7,2.3,2.3,1.4,1.3,1.4,1.5,0.7,1.1,1.5
