m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.6,0.8,0.6,0.5,0.5,0.2,0.2,0.2,0.2,0.2
생산량,1.5,1.4,1.2,1.1,2,2,2,2,2,2
수입량,8.9,6.5,7.6,8.7,5.2,5.5,12,9.6,8,8.4
곡물총량,10.9,8.7,9.4,10.3,7.8,7.7,14.3,11.8,10.2,10.6
음식소비,-,-,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1
사료소비,6.1,4,4,4.5,3,3.1,9.6,7.9,6.1,6.5
산업소비,3.6,3.5,4,4.6,3.8,3.6,3.8,3.1,3,3.1
기타소비,0.1,-,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
총소비량,9.7,7.6,8.4,9.3,6.9,6.9,13.6,11.2,9.3,9.7
수출량,0.4,0.4,0.5,0.5,0.6,0.6,0.5,0.4,0.7,0.7
내년이월,0.8,0.6,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2
