m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.5,0.7,0.7,1.4,1.1,1.1,0.9,1.3,1.4,1.2
생산량,19.1,19.1,20.7,18.9,19.7,21.2,20.9,21.5,21.6,20.9
수입량,4.7,4.6,5.8,5.7,5.3,5.7,7.2,6.4,5,6
곡물총량,24.3,24.4,27.2,26.1,26.1,28.1,29,29.2,28,28.1
음식소비,17,16.9,19.1,18.7,18.3,21.6,21.3,21.5,20.3,20.4
사료소비,3,3.1,2.9,2.8,3,2.4,3,2.9,3.2,3
산업소비,1.2,1.2,1.4,1.2,1.2,1,1.2,1.2,1.2,1.2
기타소비,1.9,2.1,2,1.9,2,1.8,1.8,1.8,1.9,1.9
총소비량,23.2,23.4,25.5,24.6,24.5,26.7,27.3,27.4,26.5,26.4
수출량,0.4,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.3,0.4
내년이월,0.7,0.7,1.4,1.1,1.1,0.9,1.3,1.4,1.2,1.3
