m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,4.1,5.2,5.9,6.3,6,5.4,3.6,3,3.5,3.5
생산량,36.5,36.2,37.2,36.6,36.3,35.4,35.8,35.8,36.1,36.4
수입량,16.6,20.3,21.3,22.3,23.1,23.4,22.7,25.4,25.8,26.2
곡물총량,57.1,61.7,64.4,65.3,65.4,64.2,62,64.3,65.5,66.1
음식소비,20.4,20.4,21.1,21.5,21.5,21.6,21.8,22.3,22.7,22.8
사료소비,22.6,25.5,26.9,28.4,30,29.8,29,30.3,31.5,32.2
산업소비,4.5,4.5,4.6,4.8,4.9,4.9,4.8,5,5,5
기타소비,2.4,2.3,2.7,2.4,2.3,2,2.1,2.1,1.8,2
총소비량,49.9,52.6,55.3,57,58.6,58.3,57.6,59.7,61,61.9
수출량,2,3.2,2.7,2.2,1.3,2.3,1.3,1.1,1,1.4
내년이월,5.2,5.9,6.3,6,5.4,3.6,3,3.5,3.5,2.8
