m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,50.4,67.5,74.7,94.3,87.2,89.2,79.5,56.9,56.3,55
생산량,432.8,423.5,465.9,432.3,429.6,412.6,422.9,443,403.8,446.4
수입량,8.1,7.7,6.9,7.9,6.6,6.5,5.7,5.7,6.8,6.3
곡물총량,491.3,498.7,547.5,534.4,523.4,508.2,508.1,505.6,467,507.8
음식소비,32.3,32.6,32.4,33,32.5,33.4,33.4,33.5,33.4,33.5
사료소비,142.1,139.9,149.4,141.3,145.9,157.1,149.5,150.8,144,149.3
산업소비,165.6,169.9,175.3,178,172.3,158.4,161.1,169.5,166.6,168.4
기타소비,3.2,2.8,2.4,2.6,2.3,2.6,2.6,2.5,2.7,3
총소비량,343.1,345.3,359.5,354.9,353,351.5,346.6,356.4,346.7,354.1
수출량,80.6,78.8,93.7,92.3,81.2,77.3,104.6,92.8,65.3,74.6
내년이월,67.5,74.7,94.3,87.2,89.2,79.5,56.9,56.3,55,79
