m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,3.3,3.4,3.5,3.1,2.8,2.8,3,2.8,2.9,2.7
생산량,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.3,0.3
수입량,14.7,15.3,13.9,14.1,15.1,16.1,15.7,16.5,15.1,16.4
곡물총량,18.4,18.9,17.6,17.3,18.2,19.2,18.8,19.5,18.3,19.3
음식소비,2.5,2.5,2.6,2.4,2.6,2.5,2.5,2.6,2.6,2.6
사료소비,9.6,9.8,9,9.1,9.6,10.6,10.5,10.8,9.8,10.7
산업소비,2.5,2.7,2.6,2.5,2.7,2.6,2.5,2.5,2.6,2.6
기타소비,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
총소비량,14.8,15.2,14.3,14.2,15.1,15.9,15.6,16.1,15.2,16
수출량,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5
내년이월,3.4,3.5,3.1,2.8,2.8,3,2.8,2.9,2.7,2.8
