m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,16.1,20.5,26.5,32.1,29.9,29.4,28,23,19,15.8
생산량,55.1,56.1,62.8,47.4,51.3,52.6,49.8,44.8,44.9,47.2
수입량,4.1,3.2,3.4,4.4,3.6,3.1,3,3,3.3,3.6
곡물총량,75.3,79.8,92.8,83.9,84.9,85,80.7,70.8,67.3,66.6
음식소비,25.7,25.7,25.5,26.1,25.5,26.1,26,26.2,26.2,26.2
사료소비,3.1,4.1,4.4,1.3,2.4,2.6,2.5,1.6,2.4,2.4
산업소비,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4
파종소비,2.2,1.8,1.7,1.7,1.6,1.6,1.7,1.6,1.5,1.8
기타소비,-,-,-,-,-,-,-,-,-,-
총소비량,31.5,32.1,32,29.5,30,30.7,30.7,29.8,30.5,30.8
수출량,23.3,21.2,28.6,24.6,25.5,26.3,27.1,22,20.9,19.1
내년이월,20.5,26.5,32.1,29.9,29.4,28,23,19,15.8,16.8
