m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,12.1,13.7,16.8,13.4,19.5,13.6,11.3,11.1,16.3,19.2
생산량,156.1,159.6,144.2,151.4,137.7,155,125.7,137.5,133.8,133.3
수입량,6.6,7.6,6,6.6,6.6,5.4,6.5,5.7,12.7,5.9
곡물총량,174.8,180.9,167,171.3,163.8,173.9,143.5,154.3,162.7,158.3
음식소비,54.3,54.4,55,55.8,56.4,55,47.6,47.7,47.5,47.8
사료소비,53.5,56.4,53,54.4,52.7,48.4,38.6,41.4,45,44
산업소비,10.8,11.5,11.1,11.3,11.3,11.1,9.6,10,9.8,10
파종소비,5.4,5.1,5.1,5.3,5.2,5.3,5,5,5,5
기타소비,1.3,1.7,1.8,1.5,1.1,1.9,1.5,1.5,1.5,1.5
총소비량,125.3,129.1,126,128.2,126.6,121.6,102.3,105.7,108.8,108.3
수출량,35.7,35.1,27.6,23.6,23.6,38.6,30.1,32.3,34.7,36.2
내년이월,13.7,16.8,13.4,19.5,13.6,13.8,11.1,16.3,19.2,13.8
