m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.7,1.5,2.3,2,1.6,1.7,1.5,1.6,1.5,1.1
생산량,-,-,-,-,-,-,-,-,-,-
수입량,7.4,10.2,10.2,10.8,10.9,10.5,10.6,10.5,9.5,10.5
곡물총량,9.1,11.7,12.5,12.8,12.5,12.1,12.1,12.1,11,11.7
음식소비,6.9,7.7,8.1,8.6,8.5,8.4,8.6,8.7,8.3,8.5
사료소비,0.2,1.4,1.9,2.2,2,1.8,1.5,1.5,1.1,1.6
산업소비,-,-,-,-,-,-,-,-,-,-
파종소비,-,-,-,-,-,-,-,-,-,-
기타소비,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
총소비량,7.3,9.2,10.2,10.9,10.6,10.3,10.2,10.2,9.5,10.2
수출량,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4
내년이월,1.5,2.3,2,1.6,1.7,1.5,1.6,1.5,1.1,1.2
