m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.5,1.2,1.4,1.2,0.8,0.5,0.8,0.6,0.3,0.6
생산량,-,-,-,-,-,-,-,-,-,-
수입량,3.5,5,3.7,3.4,3,3.7,3.1,2.3,3.3,2.3
곡물총량,4,6.1,5.1,4.5,3.8,4.2,3.9,2.9,3.5,3
음식소비,0.9,1.2,1.3,1.5,1.3,1.3,1.3,1.2,1.3,1.3
사료소비,1.6,3.2,2.3,1.8,1.6,1.7,1.6,1.1,1.2,0.8
산업소비,-,-,-,-,-,-,-,-,-,-
파종소비,-,-,-,-,-,-,-,-,-,-
기타소비,-,0.1,0.1,0.1,0.1,0.1,-,-,0.1,0.1
총소비량,2.6,4.5,3.7,3.4,3,3.1,3,2.3,2.6,2.2
수출량,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
내년이월,1.2,1.4,1.2,0.8,0.5,0.8,0.6,0.3,0.6,0.4
