m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
생산량,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
수입량,1.8,1.7,1.9,1.9,1.8,1.8,1.6,1.9,1.9,1.8
곡물총량,2.4,2.2,2.3,2.3,2.1,2.2,2,2.2,2.2,2.1
음식소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
사료소비,1.1,1,1.3,0.9,1.1,1.1,1,1.1,1.1,1
산업소비,1,0.9,0.8,1.1,0.8,0.9,0.8,0.9,0.9,0.9
기타소비,-,-,-,-,-,-,-,-,-,-
총소비량,2.1,2,2.1,2.1,2,2,1.8,2.1,2.1,2
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
