m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,-,-,-,0.1,0.1,-,0.1,0.1,0.1,0.1
생산량,0.1,0.8,0.6,1.5,1.1,1.3,2,3,2.3,2.1
수입량,8.6,9,13.5,9.3,8.8,10.1,14.6,14.4,14.1,9.9
곡물총량,8.8,9.8,14.1,10.8,10.1,11.5,16.8,17.5,16.5,12.1
음식소비,-,-,-,-,-,-,-,-,-,-
사료소비,1.6,2.5,2.1,2.5,3.5,4.7,4.1,4.9,4.9,3.7
산업소비,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.2
기타소비,0.3,0.1,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
총소비량,2.1,2.8,2.8,3.3,4.2,5.3,4.7,5.6,5.5,4.4
수출량,6,6.4,9.8,6.4,4.5,4.1,9,9.7,8.9,6.7
내년이월,0.8,0.6,1.5,1.1,1.3,2,3,2.3,2.1,1.1
