m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,2.7,4,4.7,4.9,4.9,4.4,2.8,2.4,2.3,2.1
생산량,25.5,26,27.6,27.5,27.7,26.7,27.4,26.5,26.6,27
수입량,11.3,14.1,14.6,16.1,16.7,16.4,16.5,18.1,18.9,19.5
곡물총량,39.5,44.1,46.9,48.5,49.2,47.5,46.7,47,47.8,48.6
음식소비,14.4,14.5,14.7,15,15,15,15,15.3,15.3,15.3
사료소비,15.5,18.5,20.8,22.7,24.1,23.8,23.7,24.2,25.3,26
산업소비,3.2,3.2,3.3,3.3,3.4,3.4,3.4,3.4,3.6,3.6
기타소비,1.6,1.6,1.7,1.6,1.6,1.5,1.6,1.5,1.3,1.5
총소비량,34.7,37.8,40.5,42.6,44.1,43.7,43.7,44.4,45.5,46.4
수출량,0.8,1.5,1.5,0.9,0.7,1,0.6,0.3,0.2,0.2
내년이월,2.7,4,4.7,4.9,4.1,3.6,1.4,1.1,1.3,1
