m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.4,0.5,0.6,0.4,0.4,0.3,0.5,0.3,0.4,0.4
생산량,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
수입량,3.1,3.6,3.4,4,3.8,4.6,3.1,3.3,3.8,4
곡물총량,3.6,4.2,4.1,4.4,4.3,5,3.7,3.7,4.2,4.4
음식소비,-,-,-,-,-,-,-,-,-,-
사료소비,2.9,3.4,3.5,3.8,3.8,4.2,3.1,3.1,3.6,3.8
산업소비,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
기타소비,-,-,-,-,-,-,-,-,-,-
총소비량,3.1,3.6,3.7,4.1,4,4.5,3.4,3.3,3.9,4.1
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,0.5,0.6,0.4,0.4,0.3,0.5,0.3,0.4,0.4,0.4
