m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,177.2,197.7,232.4,236,220.8,204.6,191.8,194.4,188.2,176
생산량,249.8,265,263.6,259.1,257.3,260.8,260.7,272.6,277.2,277.4
수입량,5.5,3.5,2.3,3.7,5,9.4,29.8,22.5,19.1,22
곡물총량,432.5,466.1,498.4,498.8,483.1,474.7,482.3,489.4,484.5,475.4
음식소비,8.6,8.7,9.2,9.8,10,10.2,10.2,10.2,10.2,10.2
사료소비,150,145,170,180,176,179,186,199,207.1,205
산업소비,65.5,68.7,71.9,77.2,81.4,82.5,80.5,80.5,79.5,78.5
기타소비,10.7,11.3,11.2,11,11,11.2,11.2,11.5,11.7,11.7
총소비량,234.8,233.7,262.3,278,278.4,282.8,287.9,301.1,308.5,305.5
수출량,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
내년이월,197.7,232.4,236,220.8,204.6,191.8,194.4,188.2,176,169.9
