m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.6,1.4,2.2,1.9,2.2,2,2.6,2.2,2.1,2.1
생산량,11.6,13.7,13.9,14.1,13.9,13.4,13.6,14,14.5,15.4
수입량,1.7,1,0.7,1.7,2.5,1.7,1.8,6.3,2.4,1
곡물총량,14.9,16.1,16.7,17.7,18.6,17.1,17.9,22.5,19,18.5
음식소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
사료소비,7.6,6.8,8,8.3,9.2,8.4,8.7,12.8,9.2,9.8
산업소비,5.3,5.2,5.1,5.1,5.4,5.2,5.2,5.3,5.3,5.3
기타소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
총소비량,13,12.2,13.3,13.6,14.8,13.8,14.1,18.3,14.7,15.3
수출량,0.4,1.7,1.5,2,1.8,0.7,1.6,2,2.3,1
내년이월,1.6,1.4,2.2,2.2,1.4,1.9,1.8,1.3,1.4,1.5
