m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.9,1,1,0.7,0.7,0.8,0.9,0.5,0.5,1.2
생산량,6,6.4,6.4,5.9,5.7,6,6.5,6.8,8.5,8.5
수입량,2.2,1.4,1.6,3.4,3.9,4.2,2.3,3,3.2,2
곡물총량,9,8.8,8.9,10.1,10.3,10.9,9.7,10.3,12.2,11.7
음식소비,1.3,1.3,1.3,1.3,1.3,1.4,1.2,1.3,1.3,1.3
사료소비,6,5.9,6,7.3,7.7,8.1,7.2,7.7,8.9,8.5
산업소비,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
기타소비,0.3,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.4,0.4
총소비량,8,7.8,8.1,9.3,9.5,10.1,9.1,9.7,11,10.6
수출량,-,0.1,0.1,0.1,-,-,-,0.1,-,-
내년이월,0.9,1,1,0.7,0.6,0.7,0.5,0.6,0.5,0.5
