m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.7,0.7,0.3,0.4,0.4,0.2,0.1,0.2,0.2,0.2
생산량,7.7,7,8.1,7.9,7.7,8,8.4,8.2,8.3,8.4
수입량,0.6,0.7,0.6,0.6,0.4,0.6,0.4,0.4,0.6,0.5
곡물총량,9,8.4,9.1,8.9,8.5,8.7,8.9,8.8,9.1,9.1
음식소비,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
사료소비,5.6,5.4,5.9,5.8,5.6,5.8,5.7,5.7,5.9,5.9
산업소비,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
기타소비,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
총소비량,8.3,8,8.7,8.6,8.3,8.6,8.7,8.6,8.9,8.9
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,0.7,0.3,0.4,0.4,0.2,0.1,0.2,0.2,0.2,0.2
