m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.1,0.1,0.4,0.3,0.1,0.1,0.1,0.1,0.2,0.4
생산량,2.6,2.7,3.1,3.7,4.3,4.4,4.3,4.8,6,6.1
수입량,1.8,2.5,1.9,1.9,1.9,2,1.7,1.5,1.6,1.8
곡물총량,4.5,5.4,5.4,5.8,6.3,6.4,6.1,6.5,7.8,8.3
음식소비,0.1,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.1,0.1
사료소비,-,-,-,-,0.3,0.3,0.5,0.3,0.3,0.3
분쇄소비,3.7,4.3,4.4,4.4,4.3,4,4.6,5.1,6.1,6.2
총소비량,4,4.6,4.7,4.8,5.4,5,5.2,5.5,6.5,6.5
수출량,0.3,0.5,0.4,0.9,0.8,1.3,0.7,0.8,1,1
내년이월,0.1,0.4,0.3,0.1,0.1,0.1,0.1,0.2,0.4,0.8
