m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,7.6,7.3,8.8,10.6,3.9,3.6,1.9,3.8,1.9,5.9
생산량,97.1,95.7,114.9,123.3,119.7,128.5,139.4,126.5,155.5,160
수입량,0.3,0.4,0.3,0.2,0.1,0.6,0.9,0.9,0.4,0.3
곡물총량,105,103.5,124,134,123.8,132.7,142.3,131.1,157.8,166.2
음식소비,-,-,-,-,-,-,-,0.1,0.1,0.1
사료소비,-,-,-,-,-,-,-,0.4,0.3,0.3
분쇄소비,40,39.5,41.5,42.7,43.2,46.5,47.8,49.5,54,56.3
총소비량,43,42.6,44.6,45.8,46.3,48.7,49.9,52,56.8,59.6
수출량,54.6,52.1,68.8,84.4,73.9,82.2,88.6,77.2,95.1,98.8
내년이월,7.3,8.8,10.6,3.9,3.6,1.9,3.8,1.9,5.9,7.8
